표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7019681006","019685","대교우선주(신형)","대교우B","DAEKYO(1PB)","2004/02/03","KOSPI","주권",,"신형우선주","500","19426990"
"KR7006370001","006370","대구백화점보통주","대구백화점","DaeguDepartmentStore","1988/10/10","KOSPI","주권",,"보통주","5000","10821611"
"KR700806K010","00806K","대덕1우선주","대덕1우","DAEDUCK Co.,LTD(1P)","2018/12/19","KOSPI","주권",,"종류주권","500","1212357"
"KR7008060006","008060","대덕보통주","대덕","DAEDUCK Co.,LTD","1989/01/26","KOSPI","주권",,"보통주","500","33890150"
"KR7353200009","353200","대덕전자보통주","대덕전자","DaeduckElectronics","2020/05/21","KOSPI","주권",,"보통주","500","49416925"
"KR735320K011","35320K","대덕전자우선주","대덕전자1우","DaeduckElectronics(1P)","2020/05/21","KOSPI","주권",,"종류주권","500","2095519"
"KR7178600003","178600","대동고려삼 주식회사","대동고려삼","DAEDONG KOREA GINSENG CO.,LTD.","2013/12/20","KONEX","주권","일반기업부","보통주","500","4449600"
"KR7020400008","020400","대동금속","대동금속","DaedongMetal","1993/07/30","KOSDAQ","주권","중견기업부","보통주","1000","3189166"
"KR7008830002","008830","대동기어","대동기어","DaedongGear","1991/05/17","KOSDAQ","주권","우량기업부","보통주","500","8987520"
"KR7000490003","000490","대동보통주","대동","DAEDONG CORPORATION","1975/06/27","KOSPI","주권",,"보통주","1000","25640788"
"KR7048470009","048470","대동스틸","대동스틸","DAE DONG STEEL CO., LTD.","2002/01/10","KOSDAQ","주권","중견기업부","보통주","500","10000000"
"KR7008110009","008110","대동전자보통주","대동전자","DAIDONGElECTRONICS","1990/06/05","KOSPI","주권",,"보통주","500","10490447"
"KR7004780003","004780","대륙제관","대륙제관","DaeryukCan","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","15903199"
"KR7005750005","005750","대림B&Co보통주","대림B&Co","DAELIM B&Co","1992/12/23","KOSPI","주권",,"보통주","1000","16672240"
"KR7017650003","017650","대림제지","대림제지","DaelimPaper","1994/11/07","KOSDAQ","주권","우량기업부","보통주","500","9000000"
"KR7006570006","006570","대림통상보통주","대림통상","DaelimTrading","1975/11/20","KOSPI","주권",,"보통주","1000","15225000"
"KR7007720006","007720","대명소노시즌","대명소노시즌","DAEMYUNG SONOSEASON CO.,LTD.","1994/01/06","KOSDAQ","주권","중견기업부","보통주","500","100800450"
"KR7389260001","389260","대명에너지","대명에너지","Dae Myoung Energy Co. Ltd.","2022/05/16","KOSDAQ","주권","중견기업부","보통주","100","17050000"
"KR7317850006","317850","대모엔지니어링","대모","DAEMO Engineering Co.,Ltd.","2019/07/24","KOSDAQ","주권","벤처기업부","보통주","500","8324420"
"KR7290670009","290670","대보마그네틱","대보마그네틱","DAEBO MAGNETIC CO.,LTD.","2018/11/06","KOSDAQ","주권","우량기업부","보통주","500","7857660"
"KR7078140001","078140","대봉엘에스","대봉엘에스","Daebongls co., Ltd","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","11086579"
"KR7065150005","065150","대산에프앤비","대산F&B","Daesan F&B Inc.","2007/07/18","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","125282405"
"KR7001681006","001685","대상1우선주","대상우","Daesang(1P)","1989/11/21","KOSPI","주권",,"구형우선주","1000","1370223"
"KR7001680008","001680","대상보통주","대상","Daesang","1970/04/01","KOSPI","주권",,"보통주","1000","34648025"
"KR7084691005","084695","대상홀딩스 1우선주","대상홀딩스우","Daesang Holdings(1P)","2005/08/17","KOSPI","주권",,"구형우선주","1000","913482"
"KR7084690007","084690","대상홀딩스 보통주","대상홀딩스","Daesang Holdings","2005/08/17","KOSPI","주권",,"보통주","1000","36212538"
"KR7036480002","036480","대성미생물연구소","대성미생물","Daesung Microbiological Labs. Co., Ltd.","2000/04/04","KOSDAQ","주권","중견기업부","보통주","500","3800000"
"KR7128820008","128820","대성산업보통주","대성산업","DAESUNG INDUSTRIAL","2010/07/30","KOSPI","주권",,"보통주","5000","45235478"
"KR7117580001","117580","대성에너지보통주","대성에너지","DAESUNG ENERGY","2010/12/24","KOSPI","주권",,"보통주","1000","27500000"
"KR7027830009","027830","대성창업투자","대성창투","Daesung Private Equity, Inc.","1999/11/30","KOSDAQ","주권","중견기업부","보통주","500","54000000"
"KR7104040001","104040","대성파인텍","대성파인텍","Daesung Fine Tech. Co., Ltd","2009/01/23","KOSDAQ","주권","벤처기업부","보통주","100","31301281"
"KR7129920005","129920","대성하이텍","대성하이텍","Daesung Hi-Tech Co., Ltd.","2022/08/22","KOSDAQ","주권","벤처기업부","보통주","100","13715053"
"KR7016710006","016710","대성홀딩스보통주","대성홀딩스","DAESUNG HOLDINGS","1999/12/22","KOSPI","주권",,"보통주","1000","16089459"
"KR7438220006","438220","대신밸런스제13호기업인수목적","대신밸런스제13호스팩","Daishin Balance No.13 Special Purpose Acquisition Company","2022/11/28","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5640000"
"KR7442310009","442310","대신밸런스제14호기업인수목적","대신밸런스제14호스팩","Daishin Balance No.14 Special Purpose Acquisition Company","2022/12/05","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","6710000"
"KR7457390003","457390","대신밸런스제15호기업인수목적","대신밸런스제15호스팩","Daishin Balance No.15 Special Purpose Acquisition Company","2023/08/30","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","7035000"
"KR7457630002","457630","대신밸런스제16호기업인수목적","대신밸런스제16호스팩","Daishin Balance No.16 Special Purpose Acquisition Company","2023/09/04","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","7310000"
"KR7471050005","471050","대신밸런스제17호기업인수목적","대신밸런스제17호스팩","Daishin Balance No.17 Special Purpose Acquisition Company","2024/01/24","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","6060000"
"KR7020180006","020180","대신정보통신","대신정보통신","DaishinInformation","1995/10/06","KOSDAQ","주권","중견기업부","보통주","500","38428915"
"KR7003541000","003545","대신증권1우선주","대신증권우","DaishinSecurities(1P)","1988/09/01","KOSPI","주권",,"구형우선주","5000","26000000"
"KR7003542008","003547","대신증권2우선주(신형)","대신증권2우B","DAISHINSECURITIES(2PB)","2007/11/09","KOSPI","주권",,"신형우선주","5000","10000000"
"KR7003540002","003540","대신증권보통주","대신증권","DaishinSecurities","1975/10/01","KOSPI","주권",,"보통주","5000","50773400"
"KR7045390002","045390","대아티아이","대아티아이","DAEA TI CO., LTD.","2001/05/17","KOSDAQ","주권","우량기업부","보통주","100","70473377"
"KR7009190000","009190","대양금속보통주","대양금속","DaiyangMetal","1994/04/29","KOSPI","주권",,"보통주","500","39608790"
"KR7108380007","108380","대양전기공업","대양전기공업","DAYANG ELECTRIC CO.,LTD","2011/07/08","KOSDAQ","주권","우량기업부","보통주","500","9567333"
"KR7006580005","006580","대양제지공업","대양제지","DaeyangPaperMfg","1993/12/29","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","26850000"
"KR7014160006","014160","대영포장보통주","대영포장","DaeyoungPackaging","1990/03/06","KOSPI","주권",,"보통주","500","108394549"
"KR7047040001","047040","대우건설보통주","대우건설","DaewooEngineering&Construction","2001/03/23","KOSPI","주권",,"보통주","5000","415622638"
"KR7009320003","009320","대우전자부품보통주","대우부품","DAEWOO ELECTRONIC COMPONENTS","1989/08/25","KOSPI","주권",,"보통주","500","49299770"
"KR7003090008","003090","대웅보통주","대웅","Daewoong","1973/06/26","KOSPI","주권",,"보통주","500","58141980"
"KR7069620003","069620","대웅제약보통주","대웅제약","DAEWOONGPHARMACEUTICAL","2002/11/01","KOSPI","주권",,"보통주","2500","11586575"
"KR7007680002","007680","대원","대원","DAEWON CO., LTD.","2017/12/01","KOSDAQ","주권","벤처기업부","보통주","500","13446474"
"KR7000430009","000430","대원강업보통주","대원강업","DaewonKangup","1977/06/22","KOSPI","주권",,"보통주","500","62000000"
"KR7048910004","048910","대원미디어","대원미디어","DAEWON MEDIA CO.,LTD.","2001/07/31","KOSDAQ","주권","우량기업부","보통주","500","12578946"
"KR7005710009","005710","대원산업","대원산업","Daewonsanup","1993/06/21","KOSDAQ","주권","우량기업부","보통주","500","20037600"
"KR7006341002","006345","대원전선1우선주","대원전선우","DaewonCable(1P)","1989/06/21","KOSPI","주권",,"구형우선주","500","2621200"
"KR7006340004","006340","대원전선보통주","대원전선","DaewonCable","1988/05/04","KOSPI","주권",,"보통주","500","74979175"
"KR7003220001","003220","대원제약보통주","대원제약","DaewonPharmaceutical","1999/12/15","KOSPI","주권",,"보통주","500","22190194"
"KR7024890006","024890","대원화성보통주","대원화성","DaewonChemical","1997/10/28","KOSPI","주권",,"보통주","500","41249152"
"KR7290380005","290380","대유","대유","Dae Yu Co., Ltd.","2018/08/10","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","24713612"
"KR7002880003","002880","대유에이텍","대유에이텍","DAYOU AUTOMOTIVE SEAT TECHNOLOGY CO.,LTD","1977/02/18","KOSPI","주권",,"보통주","500","46744020"
"KR7000300004","000300","대유플러스보통주","대유플러스","DAYOUPLUS","1975/06/09","KOSPI","주권",,"보통주","500","126454909"
"KR7120240007","120240","대정화금","대정화금","Daejung Chemicals & Metals Co., Ltd.","2010/12/20","KOSDAQ","주권","우량기업부","보통주","500","7190391"
"KR7003310000","003310","대주산업","대주산업","Daejoo Inc.","1992/08/01","KOSDAQ","주권","우량기업부","보통주","500","35392350"
"KR7114920002","114920","대주이엔티 주식회사","대주이엔티","Daejoo Energy INnovation Technology Co.,Ltd","2013/07/01","KONEX","주권","일반기업부","보통주","500","3469500"
"KR7078600004","078600","대주전자재료","대주전자재료","Daejoo Electronic Materials Co., Ltd.","2004/12/10","KOSDAQ","주권","우량기업부","보통주","500","15480593"
"KR7015230006","015230","대창단조보통주","대창단조","DaechangForging","1989/07/25","KOSPI","주권",,"보통주","500","28572230"
"KR7012800009","012800","대창보통주","대창","DAECHANG","1989/12/05","KOSPI","주권",,"보통주","500","91140499"
"KR7096350004","096350","대창솔루션","대창솔루션","DAECHANG SOLUTION CO.,LTD.","2007/12/17","KOSDAQ","주권","벤처기업부","보통주","100","163761009"
"KR7140520008","140520","대창스틸","대창스틸","DaeChang Steel CO., LTD.","2014/12/05","KOSDAQ","주권","우량기업부","보통주","500","21109243"
"KR7131220006","131220","대한과학","대한과학","DAIHAN SCIENTIFIC CO., Ltd","2011/10/11","KOSDAQ","주권","벤처기업부","보통주","500","7454490"
"KR7010170009","010170","대한광통신","대한광통신","TAIHAN Fiberoptics Co.,LTD","1994/11/07","KOSDAQ","주권","중견기업부","보통주","500","74511166"
"KR7054670005","054670","대한뉴팜","대한뉴팜","DAEHAN NEW PHARM CO., LTD.","2002/02/26","KOSDAQ","주권","우량기업부","보통주","500","14354920"
"KR7001070002","001070","대한방직보통주","대한방직","TaihanTextile","1973/12/28","KOSPI","주권",,"보통주","1000","5300000"
"KR7023910003","023910","대한약품공업","대한약품","DaihanPharmaceutical","1994/11/23","KOSDAQ","주권","우량기업부","보통주","500","6000000"
"KR7006650006","006650","대한유화보통주","대한유화","KOREA PETRO CHEMICAL IND","1999/08/11","KOSPI","주권",,"보통주","5000","6500000"
"KR7001440007","001440","대한전선보통주","대한전선","TaihanElectricWire","1968/12/27","KOSPI","주권",,"보통주","1000","186447300"
"KR7084010008","084010","대한제강 보통주","대한제강","Daehan Steel Co. Ltd.","2005/10/31","KOSPI","주권",,"보통주","1000","23414397"
"KR7001791003","001795","대한제당1우선주","대한제당우","TS(1P)","1995/01/21","KOSPI","주권",,"구형우선주","500","6482760"
"KR7001790005","001790","대한제당보통주","대한제당","TS","1968/12/27","KOSPI","주권",,"보통주","500","89696580"
"KR7001130004","001130","대한제분보통주","대한제분","DaehanFlourMill","1970/11/25","KOSPI","주권",,"보통주","5000","1690000"
"KR7003491008","003495","대한항공1우선주","대한항공우","KoreanAirLines(1P)","1990/03/31","KOSPI","주권",,"구형우선주","5000","1110794"
"KR7003490000","003490","대한항공보통주","대한항공","KoreanAirLines","1966/03/18","KOSPI","주권",,"보통주","5000","368220661"
"KR7005880000","005880","대한해운보통주","대한해운","KoreaLine","1992/04/23","KOSPI","주권",,"보통주","500","319177460"
"KR7003830007","003830","대한화섬보통주","대한화섬","DaehanSyntheticFibrer","1985/12/23","KOSPI","주권",,"보통주","5000","1328000"
"KR7016090003","016090","대현보통주","대현","Daehyun","1990/09/20","KOSPI","주권",,"보통주","500","44282310"
"KR7069460004","069460","대호에이엘보통주","대호에이엘","DAEHOAL","2002/11/11","KOSPI","주권",,"보통주","500","67544896"
"KR7021040001","021040","대호특수강","대호특수강","dhSteel","1996/08/27","KOSDAQ","주권","중견기업부","보통주","5000","10852387"
"KR7021041009","021045","대호특수강1우선주","대호특수강우","dhSteel(1P)","2001/09/13","KOSDAQ","주권","중견기업부","신형우선주","5000","424246"
"KR7067080002","067080","대화제약","대화제약","DAE HWA PHARM CO., LTD","2003/02/14","KOSDAQ","주권","중견기업부","보통주","500","18616650"
"KR7161570007","161570","더 미동","THE MIDONG","THE MIDONG Co,. Ltd","2013/11/13","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","21096354"
"KR7043090000","043090","더 테크놀로지","더테크놀로지","The Technology","2001/10/11","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","70912752"
"KR7298540006","298540","더네이쳐홀딩스","더네이쳐홀딩스","THE NATURE HOLDINGS CO., LTD","2020/07/27","KOSDAQ","주권","우량기업부","보통주","500","14751076"
"KR7032860009","032860","더라미","더라미","The Lamy","1997/07/04","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","40395863"
"KR7192080000","192080","더블유게임즈보통주","더블유게임즈","DoubleUGames","2019/03/12","KOSPI","주권",,"보통주","500","21495906"
"KR7393890009","393890","더블유씨피","더블유씨피","W-SCOPE CHUNGJU PLANT CO., LTD.","2022/09/30","KOSDAQ","주권","기술성장기업부","보통주","500","33696518"
"KR7299170001","299170","더블유에스아이","더블유에스아이","WSI Co., Ltd.","2018/09/21","KOSDAQ","주권","중견기업부","보통주","100","30027963"
"KR7089230007","089230","더이앤엠","THE E&M","THE E&M Co., Ltd.","2006/10/10","KOSDAQ","주권","중견기업부","보통주","1000","20311761"
"KR7012510004","012510","더존비즈온보통주","더존비즈온","DOUZONE BIZON","1988/10/28","KOSPI","주권",,"보통주","500","30382784"
"KR7224060004","224060","더코디","더코디","THE CODI","2015/12/29","KOSDAQ","주권","중견기업부","보통주","500","4748398"
"KR7302920004","302920","더콘텐츠온","더콘텐츠온","TCO","2018/08/13","KONEX","주권","일반기업부","보통주","500","4552359"
"KR7213420003","213420","덕산네오룩스","덕산네오룩스","DUK SAN NEOLUX CO.,LTD","2015/02/06","KOSDAQ GLOBAL","주권","우량기업부","보통주","200","24831179"
"KR7317330009","317330","덕산테코피아","덕산테코피아","Duksan Techopia Co., Ltd.","2019/08/02","KOSDAQ","주권","우량기업부","보통주","500","19959726"
"KR7077360006","077360","덕산하이메탈","덕산하이메탈","DUK SAN HI METAL CO.,LTD.","2005/10/14","KOSDAQ","주권","우량기업부","보통주","200","45437002"
"KR7004831004","004835","덕성1우선주","덕성우","Duksung(1P)","1989/12/19","KOSPI","주권",,"구형우선주","500","1392000"
"KR7004830006","004830","덕성보통주","덕성","Duksung","1987/09/25","KOSPI","주권",,"보통주","500","15680000"
"KR7090410002","090410","덕신이피씨","덕신이피씨","DUKSHINEPC","2014/08/01","KOSDAQ","주권","우량기업부","보통주","100","46084095"
"KR7024900003","024900","덕양산업보통주","덕양산업","DuckYangIndustry","1997/06/23","KOSPI","주권",,"보통주","500","32564980"
"KR7263600009","263600","덕우전자","덕우전자","DERKWOO ELECTRONICS CO.,LTD.","2017/08/28","KOSDAQ","주권","우량기업부","보통주","500","15930310"
"KR7194480000","194480","데브시스터즈","데브시스터즈","Devsisters corporation","2014/10/06","KOSDAQ","주권","벤처기업부","보통주","500","12013380"
"KR7263800005","263800","데이타솔루션","데이타솔루션","Datasolution, Inc.","2017/08/03","KOSDAQ","주권","중견기업부","보통주","500","16216380"
"KR7199150004","199150","데이터스트림즈","데이터스트림즈","Data Streams Corp.","2014/06/25","KONEX","주권","일반기업부","보통주","500","4268613"
"KR7206560005","206560","덱스터스튜디오","덱스터","Dexter studios Co., Ltd.","2015/12/22","KOSDAQ","주권","기술성장기업부","보통주","500","25411736"
"KR7261200000","261200","덴티스","덴티스","DENTIS CO.,LTD","2017/06/26","KOSDAQ","주권","벤처기업부","보통주","500","15809700"
"KR7145720009","145720","덴티움보통주","덴티움","DENTIUM","2017/03/15","KOSPI","주권",,"보통주","500","11068830"
"KR7227420007","227420","도부마스크","도부마스크","DOBU MASK","2016/12/28","KONEX","주권","일반기업부","보통주","500","16444510"
"KR7067990002","067990","도이치모터스","도이치모터스","DEUTSCH MOTORS INC.","2004/12/03","KOSDAQ","주권","우량기업부","보통주","500","31181550"
"KR7002150001","002150","도화엔지니어링보통주","도화엔지니어링","DOHWA ENGINEERING","2010/08/12","KOSPI","주권",,"보통주","500","33720000"
"KR7006620009","006620","동구바이오제약","동구바이오제약","DongKoo Bio & Pharma Co., Ltd.","2018/02/13","KOSDAQ","주권","우량기업부","보통주","500","28464992"
"KR7005160007","005160","동국산업","동국산업","DONGKUK INDUSTRIES COMPANY","1999/06/25","KOSDAQ","주권","우량기업부","보통주","1000","54244482"
"KR7460850001","460850","동국씨엠보통주","동국씨엠","DONGKUK COATED METAL","2023/06/16","KOSPI","주권",,"보통주","5000","29898656"
"KR7075970004","075970","동국알앤에스","동국알앤에스","DONGKUK REFRACTORIES & STEEL CO., LTD.","2004/02/13","KOSDAQ","주권","중견기업부","보통주","1000","18400000"
"KR7100130004","100130","동국에스엔씨","동국S&C","DONGKUK STRUCTURES & CONSTRUCTION COMPANY LIMITED","2009/08/31","KOSDAQ","주권","중견기업부","보통주","500","57143000"
"KR7460860000","460860","동국제강보통주","동국제강","DONGKUK STEEL MILL","2023/06/16","KOSPI","주권",,"보통주","5000","49608017"
"KR7086450004","086450","동국제약","동국제약","DongKook Pharmaceutical Co.,Ltd.","2007/05/29","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","44460000"
"KR7001230002","001230","동국홀딩스보통주","동국홀딩스","DONGKUK HOLDINGS","1988/05/09","KOSPI","주권",,"보통주","5000","31800483"
"KR7004140000","004140","동방보통주","동방","DongbangTransport&Logistics","1988/08/10","KOSPI","주권",,"보통주","1000","47971766"
"KR7099410003","099410","동방선기","동방선기","Dongbang Ship Machinery Co., Ltd","2009/11/10","KOSDAQ","주권","중견기업부","보통주","500","14000000"
"KR7007590003","007590","동방아그로보통주","동방아그로","DongbangAgro","1977/06/29","KOSPI","주권",,"보통주","500","13617577"
"KR7005961008","005965","동부건설1우선주","동부건설우","Dongbu(1P)","1990/06/21","KOSPI","주권",,"구형우선주","5000","225732"
"KR7005960000","005960","동부건설보통주","동부건설","Dongbu Corporation","1978/10/30","KOSPI","주권",,"보통주","5000","22946345"
"KR7026960005","026960","동서보통주","동서","DONGSUH","2016/07/15","KOSPI","주권",,"보통주","500","99700000"
"KR7002210003","002210","동성제약보통주","동성제약","DongsungPharmaceutical","1990/01/19","KOSPI","주권",,"보통주","1000","26100970"
"KR7102260007","102260","동성케미컬보통주","동성케미컬","DONGSUNG CHEMICAL Co., Ltd.","2008/06/23","KOSPI","주권",,"보통주","1000","49689728"
"KR7033500000","033500","동성화인텍","동성화인텍","DONGSUNG FINETEC CO., Ltd","1997/12/19","KOSDAQ","주권","우량기업부","보통주","500","29989494"
"KR7025950007","025950","동신건설","동신건설","DongshinEngineering&Construction","1995/08/07","KOSDAQ","주권","우량기업부","보통주","500","8400000"
"KR7000640003","000640","동아쏘시오홀딩스보통주","동아쏘시오홀딩스","Dong-A Socio Holdings","1970/02/10","KOSPI","주권",,"보통주","5000","6348913"
"KR7170900005","170900","동아에스티보통주","동아에스티","Donga ST","2013/04/08","KOSPI","주권",,"보통주","5000","8834970"
"KR7088130000","088130","동아엘텍","동아엘텍","DONG A ELTEK Co., Ltd","2007/01/03","KOSDAQ","주권","중견기업부","보통주","500","10662938"
"KR7028100006","028100","동아지질보통주","동아지질","Dong-Ah Geological Engineering Company","2009/06/12","KOSPI","주권",,"보통주","500","14052646"
"KR7282690007","282690","동아타이어공업보통주","동아타이어","DONG AH TIRE","2017/11/29","KOSPI","주권",,"보통주","500","13733015"
"KR7041930009","041930","동아화성","동아화성","DONG-A HWA SUNG CO.,LTD","2001/12/26","KOSDAQ","주권","우량기업부","보통주","500","15800000"
"KR7001521004","001525","동양1우선주","동양우","TONGYANG(1P)","1989/09/30","KOSPI","주권",,"구형우선주","500","617731"
"KR7001522002","001527","동양2우선주(신형)","동양2우B","TONGYANG(2PB)","1999/01/28","KOSPI","주권",,"신형우선주","500","308569"
"KR7084670009","084670","동양고속보통주","동양고속","DONGYANG EXPRESS CORP.","2005/07/25","KOSPI","주권",,"보통주","5000","2895569"
"KR7001520006","001520","동양보통주","동양","TONGYANG","1976/06/25","KOSPI","주권",,"보통주","500","238684063"
"KR7082640004","082640","동양생명보험보통주","동양생명","TONGYANG LIFE INSURANCE","2009/10/08","KOSPI","주권",,"보통주","5000","161358585"
"KR7060380003","060380","동양에스텍","동양에스텍","Dongyang S·TEC Co., Ltd.","2002/02/05","KOSDAQ","주권","우량기업부","보통주","500","19700000"
"KR7079960001","079960","동양이엔피","동양이엔피","DONGYANG E&P INC.","2005/02/01","KOSDAQ","주권","우량기업부","보통주","500","7860000"
"KR7008970006","008970","동양철관보통주","동양철관","DongyangSteelPipe","1977/03/05","KOSPI","주권",,"보통주","500","118885290"
"KR7228340006","228340","동양파일","동양파일","TONGYANG PILE, Inc.","2016/04/06","KOSDAQ","주권","우량기업부","보통주","500","20000000"
"KR7092780006","092780","동양피스톤보통주","동양피스톤","DONGYANG PISTON","2017/12/08","KOSPI","주권",,"보통주","500","13168460"
"KR7088910005","088910","동우팜투테이블","동우팜투테이블","DONGWOO FARM TO TABLE CO., LTD","2006/06/23","KOSDAQ","주권","우량기업부","보통주","500","25831764"
"KR7094170008","094170","동운아나텍","동운아나텍","DONGWOON ANATECH CO.,LTD.","2015/06/30","KOSDAQ","주권","벤처기업부","보통주","500","18952781"
"KR7049770001","049770","동원F&B보통주","동원F&B","DongwonF&B Co.,Ltd.","2000/11/23","KOSPI","주권",,"보통주","1000","19295620"
"KR7013120001","013120","동원개발","동원개발","DongwonDevelopment","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","90808100"
"KR7018500009","018500","동원금속보통주","동원금속","DONGWON METAL","1995/11/10","KOSPI","주권",,"보통주","500","46754933"
"KR7006040000","006040","동원산업보통주","동원산업","DongwonIndustries","1989/03/07","KOSPI","주권",,"보통주","1000","36021895"
"KR7030720007","030720","동원수산보통주","동원수산","DongwonFisheries","1996/11/22","KOSPI","주권",,"보통주","5000","4653805"
"KR7014821003","014825","동원시스템즈1우선주","동원시스템즈우","Dongwon Systems Corporation(1P)","1995/01/21","KOSPI","주권",,"구형우선주","5000","264111"
"KR7014820005","014820","동원시스템즈보통주","동원시스템즈","Dongwon Systems Corporation","1994/03/29","KOSPI","주권",,"보통주","5000","28991282"
"KR7111380002","111380","동인기연보통주","동인기연","DONG IN ENTECH","2023/11/21","KOSPI","주권",,"보통주","100","6128000"
"KR7163560006","163560","동일고무벨트보통주","동일고무벨트","DRB Industrial","2012/10/19","KOSPI","주권",,"보통주","500","13900000"
"KR7109860007","109860","동일금속","동일금속","DONGIL METAL CO., LTD.","2009/07/28","KOSDAQ","주권","우량기업부","보통주","500","9100000"
"KR7032960007","032960","동일기연","동일기연","DongilTechnology","1997/07/18","KOSDAQ","주권","중견기업부","보통주","500","3986323"
"KR7004890000","004890","동일산업보통주","동일산업","DONGILINDUSTRIESCO.,LTD","2005/06/30","KOSPI","주권",,"보통주","5000","2425215"
"KR7002690006","002690","동일제강보통주","동일제강","DONG IL STEEL MFG CO., LTD","2015/09/24","KOSPI","주권",,"보통주","500","20300360"
"KR7023790009","023790","동일철강","동일철강","DongilSteel","1994/11/07","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","19712667"
"KR7005290002","005290","동진쎄미켐","동진쎄미켐","DONGJIN SEMICHEM CO., LTD.","1999/12/21","KOSDAQ","주권","우량기업부","보통주","500","51414494"
"KR7025900002","025900","동화기업","동화기업","DONGWHA ENTERPRISE CO., LTD.","1995/08/07","KOSDAQ","주권","중견기업부","보통주","200","50552040"
"KR7000020008","000020","동화약품보통주","동화약품","DongwhaPharm","1976/03/24","KOSPI","주권",,"보통주","1000","27931470"
"KR7000151001","000155","두산1우선주","두산우","DOOSAN(1P)","1986/07/31","KOSPI","주권",,"구형우선주","5000","3996462"
"KR7000152009","000157","두산2우선주(신형)","두산2우B","DOOSAN(2PB)","1999/12/03","KOSPI","주권",,"신형우선주","5000","893038"
"KR7454910001","454910","두산로보틱스보통주","두산로보틱스","Doosan Robotics","2023/10/05","KOSPI","주권",,"보통주","500","64819980"
"KR7241560002","241560","두산밥캣보통주","두산밥캣","Doosan Bobcat","2016/11/18","KOSPI","주권",,"보통주","500","100249166"
"KR7000150003","000150","두산보통주","두산","DOOSAN","1973/06/29","KOSPI","주권",,"보통주","5000","16523835"
"KR7034020008","034020","두산에너빌리티보통주","두산에너빌리티","DOOSAN ENERBILITY","2000/10/25","KOSPI","주권",,"보통주","5000","640561146"
"KR7131970006","131970","두산테스나","두산테스나","DOOSAN TESNA","2013/10/22","KOSDAQ","주권","우량기업부","보통주","500","17006566"
"KR733626K013","33626K","두산퓨얼셀1우선주","두산퓨얼셀1우","Doosan Fuel Cell(1P)","2019/10/18","KOSPI","주권",,"구형우선주","100","13364200"
"KR733626K021","33626L","두산퓨얼셀2우선주(신형)","두산퓨얼셀2우B","Doosan Fuel Cell(2PB)","2019/10/18","KOSPI","주권",,"신형우선주","100","2986300"
"KR7336260005","336260","두산퓨얼셀보통주","두산퓨얼셀","Doosan Fuel Cell","2019/10/18","KOSPI","주권",,"보통주","100","65493726"
"KR7016740003","016740","두올보통주","두올","DUAL","2016/07/29","KOSPI","주권",,"보통주","2500","33066680"
"KR7073190001","073190","듀오백","듀오백","DUOBACK CO., LTD.","2004/02/06","KOSDAQ","주권","중견기업부","보통주","500","11968040"
"KR7176750008","176750","듀켐바이오","듀켐바이오","DuChemBio Co.,LTD.","2014/12/29","KONEX","주권","일반기업부","보통주","500","27025220"
"KR7030350003","030350","드래곤플라이","드래곤플라이","Dragonfly GF Co., Ltd.","1997/11/10","KOSDAQ","주권","중견기업부","보통주","500","69388973"
"KR7203650007","203650","드림시큐리티","드림시큐리티","Dream Security Co.,Ltd.","2014/10/13","KOSDAQ","주권","우량기업부","보통주","100","50605754"
"KR7223250002","223250","드림씨아이에스","드림씨아이에스","DreamCIS INC.","2020/05/22","KOSDAQ","주권","벤처기업부","보통주","500","23709280"
"KR7060570009","060570","드림어스컴퍼니","드림어스컴퍼니","Dreamus Company","2003/12/19","KOSDAQ","주권","중견기업부","보통주","500","75621573"
"KR7362990004","362990","드림인사이트","드림인사이트","DREAMINSIGHT Co.,Ltd.","2024/01/25","KOSDAQ","주권","벤처기업부","보통주","100","16491966"
"KR7192650000","192650","드림텍보통주","드림텍","DREAMTECH","2019/03/14","KOSPI","주권",,"보통주","100","68872362"
"KR7217620004","217620","디딤이앤에프","디딤이앤에프","Didim E&F","2015/06/10","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","57747210"
"KR7016670002","016670","디모아","디모아","DMOA","1993/04/21","KOSDAQ","주권","중견기업부","보통주","500","3395267"
